filename, language, JSON, XML, Markdown, HTML, JavaScript, TypeScript, SCSS, Swift, comment, blank, total
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist.page.html, HTML, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\modifinfolist\modifinfolist.page.ts, TypeScript, 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent.module.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent.page.html, HTML, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\newevent\newevent.page.ts, TypeScript, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar.module.ts, TypeScript, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar.page.html, HTML, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register-calendar\register-calendar.page.ts, TypeScript, 0, 0, 0, 0, 0, 48, 0, 0, 0, 11, 59
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register.module.ts, TypeScript, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register.page.html, HTML, 0, 0, 0, 37, 0, 0, 0, 0, 5, 3, 45
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 49, 0, 2, 7, 58
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\register\register.page.ts, TypeScript, 0, 0, 0, 0, 0, 78, 0, 0, 0, 13, 91
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting.module.ts, TypeScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting.page.html, HTML, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\setting\setting.page.ts, TypeScript, 0, 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist-routing.module.ts, TypeScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist.module.ts, TypeScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist.page.html, HTML, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist.page.spec.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\app\settinglist\settinglist.page.ts, TypeScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 8, 27
